id,label,subject,score,prediction
zs_bulk_account_suspension_1,phishing,Urgent: Your Wells Fargo Account Suspended - Verify Now!,0.9999023675918579,phishing
zs_bulk_account_suspension_5,phishing,Urgent: Account Activity Alert - Your Wells Fargo Account Has Been Suspended,0.9999032020568848,phishing
zs_bulk_account_suspension_8,phishing,Urgent: Your Wells Fargo Account Temporarily Suspended,0.9999059438705444,phishing
zs_bulk_password_reset_6,phishing,"Your Email Password Expiration Notice - Take Action by March 18, 2025!",0.9999114274978638,phishing
zs_bulk_password_reset_7,phishing,"Your Email Password Expiration Notification - Action Required by March 18th, 2025",0.9999136924743652,phishing
zs_bulk_prize_1,phishing,You've Won a $500 Amazon Gift Card!,0.9998911619186401,phishing
zs_bulk_prize_2,phishing,You've Won a $500 Amazon Gift Card!,0.9998923540115356,phishing
zs_bulk_prize_3,phishing,Congratulations! You've Won a $500 Amazon Gift Card!,0.9998980760574341,phishing
zs_bulk_prize_4,phishing,You've Won a $500 Amazon Gift Card!,0.9999111890792847,phishing
zs_bulk_prize_5,phishing,Congratulations! You've Won a $500 Amazon Gift Card!,0.9999014139175415,phishing
zs_bulk_prize_6,phishing,Congratulations! You Have Won a $500 Amazon Gift Card!,0.9999018907546997,phishing
zs_bulk_prize_8,phishing,Congratulations! You've Won a $500 Amazon Gift Card!,0.9999005794525146,phishing
zs_bulk_it_department_1,phishing,Your Email Storage is Reaching Critical Levels - Upgrade Now!,0.9999092817306519,phishing
zs_bulk_it_department_2,phishing,Mailbox Alert: Storage Capacity at 97%,0.9998950958251953,phishing
zs_bulk_it_department_4,phishing,Mailbox Storage Alert: Upgrade Required - 97% Capacity Reached!,0.999914288520813,phishing
zs_bulk_it_department_6,phishing,Urgent: Your Mailbox Storage Capacity Alert,0.9999101161956787,phishing
zs_bulk_it_department_8,phishing,Mailbox Alert: Storage Upgrade Required for meridiancorp.com Account,0.9999011754989624,phishing
zs_bulk_it_department_9,phishing,Mailbox Storage Alert - Urgent Action Required,0.9998975992202759,phishing
zs_bulk_invoice_1,phishing,Your McAfee Total Protection Subscription Renewal - INV-2025-88432,0.999910831451416,phishing
zs_bulk_invoice_2,phishing,Your McAfee Total Protection Subscription Renewal Payment Confirmation,0.9999109506607056,phishing
zs_bulk_invoice_5,phishing,Your McAfee Total Protection Subscription Renewal Payment Confirmation,0.9999161958694458,phishing
zs_bulk_invoice_6,phishing,Important: McAfee Total Protection Subscription Renewal Confirmation - INV-2025-88432,0.9999161958694458,phishing
zs_bulk_invoice_7,phishing,Your McAfee Total Protection Subscription Renewal Confirmation,0.9999167919158936,phishing
zs_bulk_invoice_9,phishing,Your McAfee Total Protection Subscription Renewal Confirmation,0.9999133348464966,phishing
zs_bulk_delivery_2,phishing,Urgent: Additional Shipping Fee for Package DHL-8847291056,0.9999167919158936,phishing
zs_bulk_delivery_3,phishing,Urgent: Package Delivery Update - Tracking Number DHL-8847291056,0.9998997449874878,phishing
zs_bulk_delivery_5,phishing,Urgent: Additional Shipping Fee Required for DHL Package,0.9999072551727295,phishing
zs_bulk_delivery_7,phishing,Urgent: Additional Shipping Fee for Package DHL-8847291056,0.9999154806137085,phishing
zs_bulk_delivery_9,phishing,Urgent: Additional Shipping Fee Required for Package DHL-8847291056,0.9999035596847534,phishing
zs_bulk_security_alert_2,phishing,Alert: Unauthorized Access to Your Microsoft Account,0.9999072551727295,phishing
zs_bulk_security_alert_3,phishing,Unauthorized access detected on your Microsoft account,0.9999092817306519,phishing
zs_bulk_security_alert_5,phishing,Unusual Activity on Your Microsoft Account,0.999913215637207,phishing
zs_bulk_security_alert_6,phishing,Urgent: Possible Unauthorized Access to Your Microsoft Account,0.9999123811721802,phishing
zs_bulk_security_alert_7,phishing,Alert: Unauthorized Login Attempt from Microsoft Account,0.9999094009399414,phishing
zs_bulk_security_alert_9,phishing,Unauthorized Access Detected: Microsoft Account Notification,0.9999080896377563,phishing
zs_bulk_document_share_0,phishing,Karen Mitchell shared Q1 2025 Budget Review.xlsx with you on OneDrive,0.9999141693115234,phishing
zs_bulk_document_share_1,phishing,Karen Mitchell shared a file with you on OneDrive,0.9998999834060669,phishing
zs_bulk_document_share_5,phishing,Karen Mitchell shared a file with you - Q1 2025 Budget Review.xlsx,0.9999021291732788,phishing
zs_bulk_document_share_6,phishing,Karen Mitchell shared a file with you on OneDrive,0.9998742341995239,phishing
zs_bulk_document_share_9,phishing,Karen Mitchell shared a file with you on OneDrive,0.9999114274978638,phishing
zs_spear_ceo_wire_0,phishing,Quick Favor Needed - Wire Transfer Urgent!,0.9992250204086304,phishing
zs_spear_ceo_wire_1,phishing,Quick Favor Needed Sarah - Urgent,0.999839186668396,phishing
zs_spear_ceo_wire_7,phishing,"Quick Favor Needed, Sarah!",0.9997300505638123,phishing
zs_spear_ceo_wire_8,phishing,Quick Favor on Urgent Matter - Need Your Help Today,0.9998512268066406,phishing
zs_spear_hr_benefits_1,phishing,Don't Miss Out: Update Your Benefits Enrollment by Oct 5!,0.9998990297317505,phishing
zs_spear_hr_benefits_2,phishing,Important: Update Your Direct Deposit Information for Upcoming Benefit Enrollment,0.9999027252197266,phishing
zs_spear_hr_benefits_4,phishing,Update Your Direct Deposit Information for Upcoming Benefits Enrollment,0.9998785257339478,phishing
zs_spear_hr_benefits_5,phishing,Important: Company Benefits Enrollment Period Now Open,0.9999109506607056,phishing
zs_spear_hr_benefits_6,phishing,Important: Company Benefits Enrollment - Don't Miss the Deadline!,0.9999058246612549,phishing
zs_spear_hr_benefits_8,phishing,Important: Company Benefits Enrollment Period - Don't Miss the Deadline!,0.999904990196228,phishing
zs_spear_vendor_1,phishing,Important Update on Payment Information for PO-2024-8891,0.9999074935913086,phishing
zs_spear_vendor_2,phishing,Important Update: New Bank Information for Payment Records,0.9999113082885742,phishing
zs_spear_vendor_4,phishing,Important Update on Purchase Order PO-2024-8891,0.9999086856842041,phishing
zs_spear_vendor_5,phishing,Important Update on Wire Transfer Information for PO-2024-8891,0.9999121427536011,phishing
zs_spear_vendor_7,phishing,Update on Payment Instructions for PO-2024-8891,0.9999071359634399,phishing
zs_spear_vendor_9,phishing,Urgent: Update Payment Records for PO-2024-8891,0.999910831451416,phishing
zs_spear_linkedin_3,phishing,Senior Cloud Architect Opportunity at Stripe,0.9998599290847778,phishing
zs_spear_linkedin_4,phishing,Exciting Senior Cloud Architect Opportunity at Stripe,0.999862790107727,phishing
